"filename", "language", "JSON", "TypeScript", "PHP", "TypeScript JSX", "Ignore", "JavaScript", "Markdown", "MS SQL", "YAML", "CSS", "JSON with Comments", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\pdl-is\docs\law-enforcement-dashboard.md", "Markdown", 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 44, 192
"c:\xampp\htdocs\pdl-is\docs\middleware-protection.md", "Markdown", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 27, 131
"c:\xampp\htdocs\pdl-is\docs\system-requirement.md", "Markdown", 0, 0, 0, 0, 0, 0, 1020, 0, 0, 0, 0, 0, 0, 190, 1210
"c:\xampp\htdocs\pdl-is\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 1, 2, 45
"c:\xampp\htdocs\pdl-is\package-lock.json", "JSON", 10033, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10034
"c:\xampp\htdocs\pdl-is\package.json", "JSON", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 83
"c:\xampp\htdocs\pdl-is\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 1, 34
"c:\xampp\htdocs\pdl-is\public\build\assets\PieChart-9VGzp2I5.js", "JavaScript", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 11, 1, 79
"c:\xampp\htdocs\pdl-is\public\build\assets\accordion-CWJVgog7.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\alert-Cr1nbU3H.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\app-B6Uqmd67.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\app-D7sJuwJc.js", "JavaScript", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 35, 13, 124
"c:\xampp\htdocs\pdl-is\public\build\assets\app-layout-l1YM3YbX.js", "JavaScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 32, 8, 86
"c:\xampp\htdocs\pdl-is\public\build\assets\appearance-B993ZYZk.js", "JavaScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 12, 1, 17
"c:\xampp\htdocs\pdl-is\public\build\assets\archive-C-v6ttJl.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 1, 7
"c:\xampp\htdocs\pdl-is\public\build\assets\archive-DF7wGM0K.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\archived-BxhXcYX6.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\arrow-left-DfiAP-S2.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 1, 7
"c:\xampp\htdocs\pdl-is\public\build\assets\badge-C-b1LAND.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\button-u9ZiHX7C.js", "JavaScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 16, 1, 22
"c:\xampp\htdocs\pdl-is\public\build\assets\calendar-2ukcrKyw.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\card-DLWDwqHf.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\case-information-DQiBFTjF.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
